User ID,Session ID,Feature Used,Timestamp,Action Type,Feedback Text
U041,S015,Meal Planning,2025-06-03 13:46:00,Modify Plan,The recipe suggestions were spot-on.
U009,S095,Meal Planning,2025-06-12 12:15:30,Modify Plan,Feedback form didn't work and app lagged a lot.
U006,S076,Grocery Ordering,2025-06-10 13:00:11,Add to Cart,The recipe suggestions were spot-on.
U015,S065,Cook Coordination,2025-06-08 02:19:42,Book Cook,UI could use a little polishing.
U027,S029,Grocery Ordering,2025-06-01 10:25:32,Remove Item,Fantastic experience with the cook coordination!
U049,S021,Cook Coordination,2025-05-20 10:19:15,Confirm Booking,The recipe suggestions were spot-on.
U014,S098,Grocery Ordering,2025-06-12 08:55:50,Add to Cart,Fantastic experience with the cook coordination!
U023,S045,Cook Coordination,2025-05-26 05:48:26,Confirm Booking,Very buggy and frustrating to use.
U035,S016,Grocery Ordering,2025-06-14 20:20:44,Add to Cart,UI could use a little polishing.
U024,S074,Meal Planning,2025-06-12 13:02:12,Modify Plan,The recipe suggestions were spot-on.
U050,S038,Meal Planning,2025-05-31 08:32:16,Search Recipe,Very buggy and frustrating to use.
U018,S059,Cook Coordination,2025-06-09 13:19:31,Confirm Booking,Very smooth grocery ordering.
U014,S086,Grocery Ordering,2025-06-10 08:44:32,Remove Item,The cook never showed up. Very bad experience.
U039,S082,Meal Planning,2025-05-26 11:15:02,Modify Plan,Grocery order failed midway and app crashed.
U030,S049,Grocery Ordering,2025-06-04 21:38:37,Remove Item,Expected a bit more customization.
U044,S042,Meal Planning,2025-05-27 06:30:51,Search Recipe,Took forever to suggest a meal plan.
U026,S035,Meal Planning,2025-06-07 01:23:15,Search Recipe,Feedback form didn't work and app lagged a lot.
U046,S041,Meal Planning,2025-05-21 22:41:05,Modify Plan,"Average experience, got the job done."
U010,S034,Meal Planning,2025-05-23 12:12:44,Search Recipe,Feedback form didn't work and app lagged a lot.
U017,S096,Cook Coordination,2025-06-10 07:06:10,Confirm Booking,Very buggy and frustrating to use.
U024,S029,Meal Planning,2025-05-21 09:43:59,Modify Plan,It was decent overall.
U008,S020,Cook Coordination,2025-05-23 20:43:35,Book Cook,Very buggy and frustrating to use.
U039,S009,Grocery Ordering,2025-06-16 04:21:08,Place Order,"Average experience, got the job done."
U034,S033,Cook Coordination,2025-06-15 02:55:05,Book Cook,It was decent overall.
U044,S069,Grocery Ordering,2025-05-19 11:52:16,Remove Item,Very smooth grocery ordering.
U028,S021,Grocery Ordering,2025-05-28 16:31:12,Add to Cart,Took forever to suggest a meal plan.
U033,S098,Meal Planning,2025-06-10 23:35:14,Modify Plan,Took forever to suggest a meal plan.
U041,S065,Cook Coordination,2025-06-16 02:27:18,Book Cook,The recipe suggestions were spot-on.
U035,S100,Cook Coordination,2025-06-10 18:59:24,Book Cook,"Average experience, got the job done."
U002,S015,Grocery Ordering,2025-06-02 13:17:05,Place Order,The recipe suggestions were spot-on.
U037,S011,Meal Planning,2025-05-19 06:32:21,Modify Plan,It was decent overall.
U049,S069,Meal Planning,2025-06-06 15:10:12,Search Recipe,UI could use a little polishing.
U011,S034,Cook Coordination,2025-05-19 17:05:03,Cancel Booking,Expected a bit more customization.
U035,S097,Cook Coordination,2025-05-26 16:45:03,Cancel Booking,Very smooth grocery ordering.
U026,S086,Cook Coordination,2025-06-08 17:38:56,Confirm Booking,UI could use a little polishing.
U029,S016,Meal Planning,2025-05-21 21:22:10,Search Recipe,Fantastic experience with the cook coordination!
U038,S071,Meal Planning,2025-06-03 01:42:21,Modify Plan,Fantastic experience with the cook coordination!
U046,S081,Meal Planning,2025-05-21 09:03:47,Search Recipe,Fantastic experience with the cook coordination!
U022,S010,Cook Coordination,2025-05-21 03:48:59,Book Cook,Loved how intuitive the meal planning was.
U014,S070,Meal Planning,2025-05-27 12:24:39,Modify Plan,Feedback form didn't work and app lagged a lot.
U037,S061,Meal Planning,2025-06-04 09:47:28,Save Plan,Grocery order failed midway and app crashed.
U007,S013,Cook Coordination,2025-06-05 08:56:46,Confirm Booking,Loved how intuitive the meal planning was.
U030,S094,Meal Planning,2025-05-30 18:31:33,Modify Plan,It was decent overall.
U004,S052,Cook Coordination,2025-06-06 17:22:21,Confirm Booking,The cook never showed up. Very bad experience.
U016,S025,Meal Planning,2025-06-06 10:30:17,Modify Plan,"Average experience, got the job done."
U012,S036,Grocery Ordering,2025-06-14 05:10:47,Add to Cart,The cook never showed up. Very bad experience.
U029,S071,Meal Planning,2025-06-07 14:25:33,Search Recipe,UI could use a little polishing.
U001,S012,Meal Planning,2025-06-10 02:40:46,Search Recipe,"Average experience, got the job done."
U014,S052,Meal Planning,2025-06-13 22:10:15,Search Recipe,Loved how intuitive the meal planning was.
U017,S059,Grocery Ordering,2025-05-31 20:04:53,Place Order,UI could use a little polishing.
U043,S092,Grocery Ordering,2025-06-06 18:51:56,Add to Cart,The recipe suggestions were spot-on.
U004,S075,Cook Coordination,2025-05-23 05:01:48,Cancel Booking,Very smooth grocery ordering.
U004,S007,Cook Coordination,2025-05-25 10:33:34,Confirm Booking,UI could use a little polishing.
U011,S008,Cook Coordination,2025-06-14 23:19:37,Book Cook,The cook never showed up. Very bad experience.
U039,S009,Cook Coordination,2025-06-08 04:33:12,Book Cook,UI could use a little polishing.
U016,S075,Cook Coordination,2025-05-25 07:50:32,Book Cook,"Average experience, got the job done."
U043,S075,Cook Coordination,2025-05-21 06:34:36,Cancel Booking,Very smooth grocery ordering.
U014,S086,Cook Coordination,2025-05-24 22:36:32,Confirm Booking,Loved how intuitive the meal planning was.
U009,S086,Cook Coordination,2025-05-28 12:57:43,Confirm Booking,It was decent overall.
U001,S059,Cook Coordination,2025-06-02 21:34:10,Cancel Booking,The cook never showed up. Very bad experience.
U035,S028,Cook Coordination,2025-06-17 08:34:37,Confirm Booking,Very smooth grocery ordering.
U005,S032,Grocery Ordering,2025-05-30 22:25:27,Place Order,"Cook arrived right on time, great!"
U046,S039,Cook Coordination,2025-05-29 14:42:32,Cancel Booking,UI could use a little polishing.
U020,S085,Meal Planning,2025-06-11 15:43:55,Search Recipe,Fantastic experience with the cook coordination!
U048,S071,Meal Planning,2025-06-13 06:12:19,Save Plan,The recipe suggestions were spot-on.
U046,S044,Meal Planning,2025-05-25 19:15:00,Modify Plan,"Nothing extraordinary, but worked."
U033,S063,Grocery Ordering,2025-05-29 07:10:06,Add to Cart,Loved how intuitive the meal planning was.
U018,S006,Meal Planning,2025-06-17 06:05:48,Save Plan,Took forever to suggest a meal plan.
U011,S095,Grocery Ordering,2025-06-02 02:47:17,Remove Item,Feedback form didn't work and app lagged a lot.
U001,S015,Meal Planning,2025-06-15 08:18:32,Modify Plan,Feedback form didn't work and app lagged a lot.
U003,S048,Cook Coordination,2025-05-31 03:32:45,Cancel Booking,The recipe suggestions were spot-on.
U003,S040,Grocery Ordering,2025-05-18 18:24:26,Add to Cart,Grocery order failed midway and app crashed.
U044,S032,Cook Coordination,2025-06-17 02:44:13,Book Cook,"Cook arrived right on time, great!"
U027,S080,Cook Coordination,2025-06-12 08:42:12,Book Cook,Grocery order failed midway and app crashed.
U011,S023,Grocery Ordering,2025-05-19 21:52:46,Add to Cart,Very smooth grocery ordering.
